bam	alignment_rates
IAN_2brad_L1_1_S1_L001_R1_001_ACCA	94.52
IAN_2brad_L1_1_S1_L001_R1_001_AGAC	93.95
IAN_2brad_L1_1_S1_L001_R1_001_AGTG	94.32
IAN_2brad_L1_1_S1_L001_R1_001_CATC	94.91
IAN_2brad_L1_1_S1_L001_R1_001_CTAC	12.55
IAN_2brad_L1_1_S1_L001_R1_001_GACT	93.54
IAN_2brad_L1_1_S1_L001_R1_001_GCTT	94.52
IAN_2brad_L1_1_S1_L001_R1_001_GTGA	94.01
IAN_2brad_L1_1_S1_L001_R1_001_TCAC	92.98
IAN_2brad_L1_1_S1_L001_R1_001_TCAG	94.33
IAN_2brad_L1_1_S1_L001_R1_001_TGGT	94.26
IAN_2brad_L1_1_S1_L001_R1_001_TGTC	94.17
IAN_2brad_L1_2_S2_L001_R1_001_ACCA	94.15
IAN_2brad_L1_2_S2_L001_R1_001_AGAC	93.67
IAN_2brad_L1_2_S2_L001_R1_001_AGTG	93.99
IAN_2brad_L1_2_S2_L001_R1_001_CATC	94.52
IAN_2brad_L1_2_S2_L001_R1_001_CTAC	93.84
IAN_2brad_L1_2_S2_L001_R1_001_GACT	92.9
IAN_2brad_L1_2_S2_L001_R1_001_GCTT	95.17
IAN_2brad_L1_2_S2_L001_R1_001_GTGA	94.52
IAN_2brad_L1_2_S2_L001_R1_001_TCAC	92.64
IAN_2brad_L1_2_S2_L001_R1_001_TCAG	94.35
IAN_2brad_L1_2_S2_L001_R1_001_TGGT	94.01
IAN_2brad_L1_2_S2_L001_R1_001_TGTC	94.36
IAN_2brad_L1_3_S3_L001_R1_001_ACCA	94.03
IAN_2brad_L1_3_S3_L001_R1_001_AGAC	93.58
IAN_2brad_L1_3_S3_L001_R1_001_AGTG	94.56
IAN_2brad_L1_3_S3_L001_R1_001_CATC	94.66
IAN_2brad_L1_3_S3_L001_R1_001_CTAC	94.11
IAN_2brad_L1_3_S3_L001_R1_001_GACT	93.54
IAN_2brad_L1_3_S3_L001_R1_001_GCTT	95.01
IAN_2brad_L1_3_S3_L001_R1_001_GTGA	94.7
IAN_2brad_L1_3_S3_L001_R1_001_TCAC	92.91
IAN_2brad_L1_3_S3_L001_R1_001_TCAG	94.47
IAN_2brad_L1_3_S3_L001_R1_001_TGGT	93.94
IAN_2brad_L1_3_S3_L001_R1_001_TGTC	94.75
IAN_2brad_L1_4_S4_L001_R1_001_ACCA	94.21
IAN_2brad_L1_4_S4_L001_R1_001_AGAC	5.7
IAN_2brad_L1_4_S4_L001_R1_001_AGTG	94.18
IAN_2brad_L1_4_S4_L001_R1_001_CATC	94.03
IAN_2brad_L1_4_S4_L001_R1_001_CTAC	93.42
IAN_2brad_L1_4_S4_L001_R1_001_GACT	87.72
IAN_2brad_L1_4_S4_L001_R1_001_GCTT	94.31
IAN_2brad_L1_4_S4_L001_R1_001_GTGA	93.92
IAN_2brad_L1_4_S4_L001_R1_001_TCAC	91.93
IAN_2brad_L1_4_S4_L001_R1_001_TCAG	94.1
IAN_2brad_L1_4_S4_L001_R1_001_TGGT	94.59
IAN_2brad_L1_4_S4_L001_R1_001_TGTC	93.74
IAN_2brad_L1_5_S5_L001_R1_001_ACCA	94.04
IAN_2brad_L1_5_S5_L001_R1_001_AGAC	93.12
IAN_2brad_L1_5_S5_L001_R1_001_AGTG	93.84
IAN_2brad_L1_5_S5_L001_R1_001_CATC	90.91
IAN_2brad_L1_5_S5_L001_R1_001_CTAC	93.51
IAN_2brad_L1_5_S5_L001_R1_001_GACT	92.27
IAN_2brad_L1_5_S5_L001_R1_001_GCTT	93.88
IAN_2brad_L1_5_S5_L001_R1_001_GTGA	93.96
IAN_2brad_L1_5_S5_L001_R1_001_TCAC	91.44
IAN_2brad_L1_5_S5_L001_R1_001_TCAG	93.8
